2025-01-02,08:00,16:00
2025-01-03,08:15,16:15
2025-01-06,08:00,16:00
2025-01-07,08:30,16:30
2025-01-08,08:00,16:00
2025-01-09,08:15,16:15
2025-01-10,08:00,16:00
2025-01-13,08:30,16:30
2025-01-14,08:00,16:00
2025-01-15,08:15,16:15
2025-01-16,08:00,16:00
2025-01-17,08:30,16:30
2025-01-20,08:00,16:00
2025-01-21,08:15,16:15
2025-01-22,08:00,16:00
2025-01-23,08:30,16:30
2025-01-24,08:00,16:00
2025-01-27,08:15,16:15
2025-01-28,08:00,16:00
2025-01-29,08:30,16:30
2025-01-30,08:00,16:00
2025-01-31,08:15,16:15
2025-02-03,08:00,16:00
2025-02-04,08:30,16:30
2025-02-05,08:00,16:00
2025-02-06,08:15,16:15
2025-02-07,08:00,16:00
2025-02-10,08:30,16:30
2025-02-11,08:00,16:00
2025-02-12,08:15,16:15
2025-02-13,08:00,16:00
2025-02-14,08:30,16:30
2025-02-17,08:00,16:00
2025-02-18,08:15,16:15
2025-02-19,08:00,16:00
2025-02-20,08:30,16:30
2025-02-21,08:00,16:00
2025-02-24,08:15,16:15
2025-02-25,08:00,16:00
2025-02-26,08:30,16:30
2025-02-27,08:00,16:00
2025-02-28,08:15,16:15
2025-03-03,08:00,16:00
2025-03-04,08:30,16:30
2025-03-05,08:00,16:00
2025-03-06,08:15,16:15
2025-03-07,08:00,16:00
2025-03-10,08:30,16:30
2025-03-11,08:00,16:00
2025-03-12,08:15,16:15
2025-03-13,08:00,16:00
2025-03-14,08:30,16:30
2025-03-17,08:00,16:00
2025-03-18,08:15,16:15
2025-03-19,08:00,16:00
2025-03-20,08:30,16:30
2025-03-21,08:00,16:00
2025-03-24,08:15,16:15
2025-03-25,08:00,16:00
2025-03-26,08:30,16:30
2025-03-27,08:00,16:00
2025-03-28,08:15,16:15
2025-04-01,08:00,16:00
2025-04-02,08:30,16:30
2025-04-03,08:00,16:00
2025-04-04,08:15,16:15
2025-04-07,08:00,16:00
2025-04-08,08:30,16:30
2025-04-09,08:00,16:00
2025-04-10,08:15,16:15
2025-04-11,08:00,16:00
2025-04-14,08:30,16:30
2025-04-15,08:00,16:00
2025-04-16,08:15,16:15
2025-04-22,08:00,16:00
2025-04-23,08:30,16:30
2025-04-24,08:00,16:00
2025-04-25,08:15,16:15
2025-04-28,08:00,16:00
2025-04-29,08:30,16:30
2025-04-30,08:00,16:00
2025-05-02,08:15,16:15
2025-05-05,08:00,16:00
2025-05-06,08:30,16:30
2025-05-07,08:00,16:00
2025-05-08,08:15,16:15
2025-05-09,08:00,16:00
2025-05-12,08:30,16:30
2025-05-13,08:00,16:00
2025-05-14,08:15,16:15
2025-05-15,08:00,16:00
2025-05-16,08:30,16:30
2025-05-19,08:00,16:00
2025-05-20,08:15,16:15
2025-05-21,08:00,16:00
2025-05-22,08:30,16:30
2025-05-23,08:00,16:00
2025-05-26,08:15,16:15
2025-05-27,08:00,16:00
2025-05-28,08:30,16:30
2025-05-30,08:00,16:00
2025-06-02,08:15,16:15
2025-06-03,08:00,16:00
2025-06-04,08:30,16:30
2025-06-05,08:00,16:00
2025-06-06,08:15,16:15
2025-06-10,08:00,16:00
2025-06-11,08:30,16:30
2025-06-12,08:00,16:00
2025-06-13,08:15,16:15
2025-06-16,08:00,16:00
2025-06-17,08:30,16:30
2025-06-18,08:00,16:00
2025-06-19,08:15,16:15
2025-06-20,08:00,16:00
2025-06-23,08:30,16:30
2025-06-24,08:00,16:00
2025-06-25,08:15,16:15
2025-06-26,08:00,16:00
2025-06-27,08:30,16:30
2025-06-30,08:00,16:00
2026-01-15,13:52,22:47
2026-01-16,10:47,22:38
2026-01-20,22:29,22:29
2026-01-22,12:13,12:14
